scenario,algorithm,density,pred_error_pct,gamma,tau_max,seed,PCO
A,Random-K,1,10,0.0,5,42,5.775245
A,Random-K,1,10,0.0,5,43,5.785862
A,Random-K,1,10,0.0,5,44,5.845845
A,Random-K,1,10,0.0,5,45,5.833465
A,Random-K,1,10,0.0,5,46,5.776723
A,Random-K,1,10,0.0,5,47,5.800686
A,Random-K,1,10,0.0,5,48,5.769121
A,Random-K,1,10,0.0,5,49,5.858712
A,Random-K,1,10,0.0,5,50,5.804284
A,Random-K,1,10,0.0,5,51,5.811778
A,RILP,1,10,1.0,5,42,0.165353
A,RILP,1,10,1.0,5,43,0.164757
A,RILP,1,10,1.0,5,44,0.165843
A,RILP,1,10,1.0,5,45,0.164977
A,RILP,1,10,1.0,5,46,0.165039
A,RILP,1,10,1.0,5,47,0.165095
A,RILP,1,10,1.0,5,48,0.165056
A,RILP,1,10,1.0,5,49,0.166423
A,RILP,1,10,1.0,5,50,0.16428
A,RILP,1,10,1.0,5,51,0.16625
A,RILP-Greedy,1,10,1.0,5,42,0.165353
A,RILP-Greedy,1,10,1.0,5,43,0.164757
A,RILP-Greedy,1,10,1.0,5,44,0.165843
A,RILP-Greedy,1,10,1.0,5,45,0.164977
A,RILP-Greedy,1,10,1.0,5,46,0.165039
A,RILP-Greedy,1,10,1.0,5,47,0.165095
A,RILP-Greedy,1,10,1.0,5,48,0.165056
A,RILP-Greedy,1,10,1.0,5,49,0.166423
A,RILP-Greedy,1,10,1.0,5,50,0.16428
A,RILP-Greedy,1,10,1.0,5,51,0.16625
A,Nam2023b,1,10,1.0,5,42,6.397267
A,Nam2023b,1,10,1.0,5,43,6.409959
A,Nam2023b,1,10,1.0,5,44,6.477834
A,Nam2023b,1,10,1.0,5,45,6.463679
A,Nam2023b,1,10,1.0,5,46,6.400696
A,Nam2023b,1,10,1.0,5,47,6.427243
A,Nam2023b,1,10,1.0,5,48,6.390884
A,Nam2023b,1,10,1.0,5,49,6.490169
A,Nam2023b,1,10,1.0,5,50,6.431813
A,Nam2023b,1,10,1.0,5,51,6.438197
A,Nam2025,1,10,1.0,5,42,0.165353
A,Nam2025,1,10,1.0,5,43,0.164757
A,Nam2025,1,10,1.0,5,44,0.165843
A,Nam2025,1,10,1.0,5,45,0.164977
A,Nam2025,1,10,1.0,5,46,0.165039
A,Nam2025,1,10,1.0,5,47,0.165095
A,Nam2025,1,10,1.0,5,48,0.165056
A,Nam2025,1,10,1.0,5,49,0.166423
A,Nam2025,1,10,1.0,5,50,0.16428
A,Nam2025,1,10,1.0,5,51,0.16625
A,Youn2026,1,10,1.0,5,42,0.165353
A,Youn2026,1,10,1.0,5,43,0.164757
A,Youn2026,1,10,1.0,5,44,0.165843
A,Youn2026,1,10,1.0,5,45,0.164977
A,Youn2026,1,10,1.0,5,46,0.165039
A,Youn2026,1,10,1.0,5,47,0.165095
A,Youn2026,1,10,1.0,5,48,0.165056
A,Youn2026,1,10,1.0,5,49,0.166423
A,Youn2026,1,10,1.0,5,50,0.16428
A,Youn2026,1,10,1.0,5,51,0.16625
A,V2I-Base,1,10,1.0,5,42,0.165353
A,V2I-Base,1,10,1.0,5,43,0.164757
A,V2I-Base,1,10,1.0,5,44,0.165843
A,V2I-Base,1,10,1.0,5,45,0.164977
